RUN,GRID,LAT,LNG,INFILT,Ds,Ds_MAX,Ws,C,EXPT_1,EXPT_2,EXPT_3,Ksat_1,Ksat_2,Ksat_3,PHI_1,PHI_2,PHI_3,MOIST_1,MOIST_2,MOIST_3,ELEV,DEPTH_1,DEPTH_2,DEPTH_3,AVG_T,DP,BUBLE1,BUBLE2,BUBLE3,QUARZ1,QUARZ2,QUARZ3,BULKDN1,BULKDN2,BULKDN3,PARTDN1,PARTDN2,PARTDN3,OFF_GMT,WcrFT1,WcrFT2,WcrFT3,WpFT1,WpFT2,WpFT3,Z0_SOIL,Z0_SNOW,PRCP,RESM1,RESM2,RESM3,FS_ACTV
1,23,33.25,106.75,0.25,0.026,0,10,1.572,13.8011294571516,13.8011294571516,15.0174618983283,0.762262980472773,0.762262980472773,0.50573588453689,-99,-99,-99,0.05,0.15,0.75,1124.65,0.1,0.3,1.5,12.4,4,2.77423363723452,2.77423363723452,3.37570798536668,0.489,0.477,0.477,1390.6,1390.6,1480.50505050505,2685,2685,2685,7.11666666666667,0.52904321695353,0.52904321695353,0.580074116775756,0.260954317039075,0.260954317039075,0.307342077778563,5e-04,5e-04,666.3,0,0,0,1
1,24,33.25,107.25,0.25,0.026,0,10,1.572,14.3216461923818,14.3216461923818,15.6377677877158,0.435932219921135,0.435932219921135,0.274216414997186,-99,-99,-99,0.05,0.15,0.75,816.78,0.1,0.3,1.5,13.2,4,4.69472135985767,4.69472135985767,5.27801626582574,0.502,0.481,0.481,1397.6,1397.6,1475.9595959596,2685,2685,2685,7.15,0.620714702619226,0.620714702619226,0.6702108007126,0.316283423552487,0.316283423552487,0.366344945934395,5e-04,5e-04,884.8,0,0,0,1
1,25,33.25,107.75,0.25,0.026,0,10,1.572,14.3445613610599,14.3445613610599,16.0895549678216,0.36821737335591,0.36821737335591,0.196673310993777,-99,-99,-99,0.05,0.15,0.75,811.21,0.1,0.3,1.5,12.5,4,5.43936660311371,5.43936660311371,6.25819155538772,0.498,0.477,0.477,1409.8,1409.8,1484.84848484848,2685,2685,2685,7.18333333333333,0.644727998284058,0.644727998284058,0.710404978032008,0.328967045845514,0.328967045845514,0.3964960076728,5e-04,5e-04,855.9,0,0,0,1
1,26,33.25,108.25,0.25,0.026,0,10,1.572,14.6661855947155,14.6661855947155,16.0831750922273,0.462745160973222,0.462745160973222,0.25904968279868,-99,-99,-99,0.05,0.15,0.75,1025.32,0.1,0.3,1.5,11.6,4,4.12635841725098,4.12635841725098,5.05694427778037,0.495,0.461,0.461,1380.6,1380.6,1475,2685,2685,2685,7.21666666666667,0.609107106829906,0.609107106829906,0.674022469346552,0.316610881758742,0.316610881758742,0.376082992693861,5e-04,5e-04,813.6,0,0,0,1
1,27,33.25,108.75,0.25,0.026,0,10,1.572,14.4245753786818,14.4245753786818,16.2075566827879,0.439261341991435,0.439261341991435,0.235636799153082,-99,-99,-99,0.05,0.15,0.75,1226.88,0.1,0.3,1.5,10.7,4,4.54845350378202,4.54845350378202,5.32601397511944,0.488,0.45,0.45,1392.4,1392.4,1474.5,2685,2685,2685,7.25,0.617859329299391,0.617859329299391,0.686133011247773,0.316746712430482,0.316746712430482,0.384949650735857,5e-04,5e-04,756.6,0,0,0,1
1,28,33.25,109.25,0.25,0.026,0,10,1.572,16.249772810923,16.249772810923,17.5888050714971,0.303390914153816,0.303390914153816,0.174483007109547,-99,-99,-99,0.05,0.15,0.75,1069.41,0.1,0.3,1.5,11.1,4,4.5351682983745,4.5351682983745,5.22219687666774,0.483,0.444,0.444,1357.4,1357.4,1403.3,2685,2685,2685,7.28333333333333,0.666555770174931,0.666555770174931,0.719393830885298,0.374655275431123,0.374655275431123,0.426311532412194,5e-04,5e-04,728.6,0,0,0,1
1,29,33.75,106.25,0.25,0.026,0,10,1.572,14.0141126409348,14.0141126409348,15.0691295917016,0.449934283928374,0.449934283928374,0.299833691891873,-99,-99,-99,0.05,0.15,0.75,1328.17,0.1,0.3,1.5,11.8,4,4.72800588986678,4.72800588986678,5.40171042087216,0.493,0.46,0.46,1417,1417,1480.8,2685,2685,2685,7.08333333333333,0.610870241352801,0.610870241352801,0.658394130701147,0.305462172938233,0.305462172938233,0.349788432624622,5e-04,5e-04,428,0,0,0,1
1,30,33.75,106.75,0.25,0.026,0,10,1.572,14.0687204770886,14.0687204770886,14.8733854518421,0.575225009741523,0.575225009741523,0.324612036784491,-99,-99,-99,0.05,0.15,0.75,1574.31,0.1,0.3,1.5,10,4,3.65289641108681,3.65289641108681,5.21218337145392,0.486,0.448,0.448,1414.5,1414.5,1518.38709677419,2685,2685,2685,7.11666666666667,0.572587293058136,0.572587293058136,0.646452795531702,0.287299667758217,0.287299667758217,0.339881823145279,5e-04,5e-04,589,0,0,0,1
1,31,33.75,107.25,0.25,0.026,0,10,1.572,13.2789471380412,13.2789471380412,15.5731648863602,0.83050829328204,0.83050829328204,0.367971703755822,-99,-99,-99,0.05,0.15,0.75,1659.74,0.1,0.3,1.5,8.7,4,2.76048626815597,2.76048626815597,4.1163271466081,0.483,0.444,0.444,1404.1,1404.1,1528.85416666667,2685,2685,2685,7.15,0.514167589272279,0.514167589272279,0.625289568120044,0.244672864004333,0.244672864004333,0.340731368543157,5e-04,5e-04,716.9,0,0,0,1
1,32,33.75,107.75,0.25,0.026,0,10,1.572,13.9735937566072,13.9735937566072,15.660759462995,0.736591320269823,0.736591320269823,0.369931516947308,-99,-99,-99,0.05,0.15,0.75,1939.32,0.1,0.3,1.5,5.3,4,2.78929084629426,2.78929084629426,4.04209767680189,0.488,0.45,0.45,1413.6,1413.6,1491.02040816327,2685,2685,2685,7.18333333333333,0.533718277079581,0.533718277079581,0.625095548859171,0.266200681228824,0.266200681228824,0.342059422621664,5e-04,5e-04,737.4,0,0,0,1
1,33,33.75,108.25,0.25,0.026,0,10,1.572,14.0798698302558,14.0798698302558,16.194857206922,0.755922294958077,0.755922294958077,0.35406614213593,-99,-99,-99,0.05,0.15,0.75,1732.49,0.1,0.3,1.5,9.6,4,2.61627921741354,2.61627921741354,3.80816186520958,0.493,0.459,0.459,1426.5,1426.5,1497.9,2685,2685,2685,7.21666666666667,0.526850150253241,0.526850150253241,0.629554083274813,0.264534250985255,0.264534250985255,0.353010058073507,5e-04,5e-04,698.1,0,0,0,1
1,34,33.75,108.75,0.25,0.026,0,10,1.572,14.3208840793139,14.3208840793139,16.1001477038949,0.684082008696483,0.684082008696483,0.353674778322717,-99,-99,-99,0.05,0.15,0.75,1478.95,0.1,0.3,1.5,10.2,4,2.8443248021587,2.8443248021587,3.88483597684745,0.501,0.476,0.476,1404.3,1404.3,1474.8,2685,2685,2685,7.25,0.545047492956362,0.545047492956362,0.630535675733201,0.277714805150225,0.277714805150225,0.352084801113032,5e-04,5e-04,655.5,0,0,0,1
1,35,33.75,109.25,0.25,0.026,0,10,1.572,13.8037240450677,13.8037240450677,15.905176697598,0.818004425462743,0.818004425462743,0.380476058302785,-99,-99,-99,0.05,0.15,0.75,1376.39,0.1,0.3,1.5,9.9,4,2.50508891595445,2.50508891595445,3.76896401601194,0.491,0.454,0.454,1440.8,1440.8,1481.5,2685,2685,2685,7.28333333333333,0.515401267097758,0.515401267097758,0.620438010462909,0.254268480563912,0.254268480563912,0.343409853011838,5e-04,5e-04,670.3,0,0,0,1
1,36,34.25,106.25,0.25,0.2929,0.7,66.8,1.176,14.8682509227502,14.8682509227502,16.4438641803593,0.408354792006972,0.408354792006972,0.227224721176113,-99,-99,-99,0.05,0.15,0.75,1668.42,0.1,0.3,1.5,8.4,4,4.37779508704676,4.37779508704676,5.23570890467475,0.398,0.385,0.385,1452.9,1452.9,1553.5,2685,2685,2685,7.08333333333333,0.62045688986904,0.62045688986904,0.689260958216031,0.326123383527438,0.326123383527438,0.390653110406821,5e-04,5e-04,576.7,0,0,0,1
1,37,34.25,106.75,0.25,0.2929,0.7,66.8,1.176,13.9610364079253,13.9610364079253,15.1358043835253,0.588953389923089,0.588953389923089,0.379500746011335,-99,-99,-99,0.05,0.15,0.75,1500.11,0.1,0.3,1.5,10.1,4,3.61738454982261,3.61738454982261,4.35591193725716,0.48,0.473,0.473,1412.8,1412.8,1499.3,2685,2685,2685,7.11666666666667,0.567352149894804,0.567352149894804,0.623542165020361,0.28275070231068,0.28275070231068,0.332425575639711,5e-04,5e-04,684.4,0,0,0,1
1,38,34.25,107.25,0.25,0.2929,0.7,66.8,1.176,13.3562525576939,13.3562525576939,14.6245991962818,0.585201174216999,0.585201174216999,0.360622974120694,-99,-99,-99,0.05,0.15,0.75,1293.59,0.1,0.3,1.5,10,4,4.20483792330472,4.20483792330472,5.05940252030363,0.498,0.484,0.484,1401.9,1401.9,1506.46464646465,2685,2685,2685,7.15,0.577212704329213,0.577212704329213,0.63625023275912,0.27620050505055,0.27620050505055,0.329946502537146,5e-04,5e-04,713.1,0,0,0,1
1,39,34.25,107.75,0.25,0.2929,0.7,66.8,1.176,13.2417176328558,13.2417176328558,13.9616217340141,0.593650825603326,0.593650825603326,0.42167980644408,-99,-99,-99,0.05,0.15,0.75,911.51,0.1,0.3,1.5,10.8,4,4.26097363952378,4.26097363952378,5.02290393324904,0.475,0.466,0.466,1424.3,1424.3,1508.8,2685,2685,2685,7.18333333333333,0.576911208293115,0.576911208293115,0.618225267279726,0.27379007554611,0.27379007554611,0.308115742721985,5e-04,5e-04,763.3,0,0,0,1
1,40,34.25,108.25,0.25,0.2929,0.7,66.8,1.176,12.3981135759018,12.3981135759018,12.4873578627845,0.564747763605661,0.564747763605661,0.455926230770019,-99,-99,-99,0.05,0.15,0.75,569.28,0.1,0.3,1.5,13.1,4,5.43378354579072,5.43378354579072,6.29580472648077,0.476,0.469,0.469,1406,1406,1486.1,2685,2685,2685,7.21666666666667,0.594276774376735,0.594276774376735,0.617786761612602,0.263780047197664,0.263780047197664,0.276318491260591,5e-04,5e-04,632.1,0,0,0,1
1,41,34.25,108.75,0.25,0.2929,0.7,66.8,1.176,12.2585746806658,12.2585746806658,12.5175832875748,0.427477207896813,0.427477207896813,0.384634776252496,-99,-99,-99,0.05,0.15,0.75,449.88,0.1,0.3,1.5,13,4,7.23573845467806,7.23573845467806,7.25392314585823,0.486,0.479,0.479,1409.375,1409.375,1486.5625,2685,2685,2685,7.25,0.637871729725389,0.637871729725389,0.643273702445322,0.279685647609077,0.279685647609077,0.288454185657004,5e-04,5e-04,562.3,0,0,0,1
1,42,34.25,109.25,0.25,0.2929,0.7,66.8,1.176,12.9168447569146,12.9168447569146,13.3955963823726,0.385953965547683,0.385953965547683,0.350312410053238,-99,-99,-99,0.05,0.15,0.75,645.05,0.1,0.3,1.5,12.8,4,6.99181629203699,6.99181629203699,6.68419992823794,0.488,0.465,0.465,1409.9,1409.9,1489.3,2685,2685,2685,7.28333333333333,0.649987164616277,0.649987164616277,0.652997821926737,0.30102979031473,0.30102979031473,0.31333711001164,5e-04,5e-04,596.3,0,0,0,1
